time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-10T01:19:03.920Z,-4.1063,153.223,83.13,4.6,mb,,58,7.996,0.51,us,usb000qgn0,2014-05-10T09:21:39.564Z,"45km NNE of Taron, Papua New Guinea",earthquake
2014-05-09T21:51:07.750Z,-7.0315,154.8564,33.17,5.1,mb,,29,5.577,0.73,us,usb000qgem,2014-05-10T05:53:44.721Z,"105km SW of Panguna, Papua New Guinea",earthquake
2014-05-09T18:14:01.230Z,-23.4279,-175.1335,7.03,5,mb,,47,6.312,1.47,us,usb000qfwr,2014-05-10T14:10:02.567Z,"232km S of `Ohonua, Tonga",earthquake
2014-05-09T17:47:02.190Z,-19.7009,-177.7103,441.66,4.8,mb,,35,4.461,0.86,us,usb000qfu9,2014-05-10T13:44:58.473Z,"147km NE of Ndoi Island, Fiji",earthquake
2014-05-09T14:03:59.350Z,-18.354,-178.05,527.68,5.6,mb,,83,3.756,1.09,us,usb000qfhc,2014-05-09T22:06:29.809Z,"263km NNE of Ndoi Island, Fiji",earthquake
2014-05-09T13:55:12.680Z,-23.3213,170.27,32.48,4.9,mb,,129,9.16,0.69,us,usb000qfgs,2014-05-09T21:57:52.747Z,"209km WSW of Ile Hunter, New Caledonia",earthquake
2014-05-09T12:54:53.870Z,8.7611,126.352,86.13,5,mb,,104,8,0.77,us,usb000qffh,2014-05-09T13:15:29.473Z,"7km ESE of Marihatag, Philippines",earthquake
2014-05-09T11:44:51.810Z,-34.7262,-71.7441,44.04,4.7,mb,,97,0.321,0.92,us,usb000qfdu,2014-05-10T04:12:53.961Z,"36km WSW of Santa Cruz, Chile",earthquake
2014-05-09T11:16:53.280Z,-20.5098,-71.0113,14.15,4.5,mb,,148,0.78,0.65,us,usb000qfdm,2014-05-09T20:46:35.000Z,"96km WSW of Iquique, Chile",earthquake
2014-05-09T10:32:18.750Z,-18.9225,-175.6019,153.42,5.8,mwp,,25,5.371,1.09,us,usb000qfct,2014-05-09T22:56:34.000Z,"163km NW of Pangai, Tonga",earthquake
2014-05-09T05:44:28.920Z,5.6971,125.74,143.56,5.5,mb,,31,1.373,1.31,us,usb000qf6m,2014-05-09T22:56:32.000Z,"26km SSE of Caburan, Philippines",earthquake
2014-05-09T05:34:24.080Z,-7.0346,154.6267,72.24,4.6,mb,,86,5.782,0.94,us,usb000qf6a,2014-05-09T13:37:02.257Z,"123km SW of Panguna, Papua New Guinea",earthquake
2014-05-09T04:58:48.580Z,-20.3543,-70.7722,7.45,4.6,mb,,107,0.593,1.03,us,usb000qf5d,2014-05-09T16:56:49.000Z,"67km WSW of Iquique, Chile",earthquake
2014-05-09T00:08:42.710Z,27.8308,57.4656,10,4.6,mb,,130,3.088,0.95,us,usb000qezz,2014-05-09T08:11:44.605Z,"84km NNE of Minab, Iran",earthquake
2014-05-08T23:50:11.240Z,26.3678,68.3887,15.35,4.6,mb,,83,8.399,0.78,us,usb000qez2,2014-05-09T07:52:48.871Z,"12km SE of Daur, Pakistan",earthquake
2014-05-08T22:51:15.830Z,26.3868,68.3579,14.73,4.5,mb,,100,8.396,0.79,us,usb000qexd,2014-05-09T06:53:53.903Z,"8km SSE of Daur, Pakistan",earthquake
2014-05-08T17:00:17.260Z,17.3847,-100.6563,23.95,6.4,mww,,38,2.002,1.15,us,usb000qea2,2014-05-14T04:38:03.597Z,"15km N of Tecpan de Galeana, Mexico",earthquake
2014-05-08T15:52:48.570Z,49.6759,156.1128,62.76,5.2,mb,,61,3.71,0.67,us,usb000qe6z,2014-05-09T16:05:36.142Z,"111km S of Severo-Kuril'sk, Russia",earthquake
2014-05-08T11:46:05.540Z,-4.9356,152.2614,71.17,5.2,mb,,36,6.732,0.72,us,usb000qdyw,2014-05-08T14:12:55.945Z,"64km S of Kokopo, Papua New Guinea",earthquake
2014-05-08T09:42:28.800Z,-21.8834,170.8401,139.94,4.9,mb,,63,7.939,1.13,us,usb000qdxk,2014-05-08T17:45:03.550Z,"137km WNW of Ile Hunter, New Caledonia",earthquake
2014-05-08T03:23:23.640Z,-6.747,154.5608,20.44,4.9,mb,,62,7.789,0.88,us,usb000qdsw,2014-05-08T11:26:26.467Z,"112km WSW of Panguna, Papua New Guinea",earthquake
2014-05-07T16:00:53.660Z,-21.0641,-179.0671,635.78,4.7,mb,,91,4.276,0.77,us,usb000qd0j,2014-05-08T00:03:27.810Z,"59km SW of Ndoi Island, Fiji",earthquake
2014-05-07T14:11:46.010Z,25.527,102.0691,31.03,4.9,mb,,68,0.728,0.61,us,usb000qcw9,2014-05-07T23:38:13.448Z,"26km SE of Yuanma, China",earthquake
2014-05-07T13:27:06.260Z,-19.9688,-70.951,12.99,5,mb,,144,0.862,0.78,us,usb000qcve,2014-05-08T03:24:42.000Z,"88km WNW of Iquique, Chile",earthquake
2014-05-07T04:45:00.470Z,-7.0072,154.8209,10,5.6,mb,,120,7.948,0.57,us,usb000qcqm,2014-05-07T13:57:16.000Z,"105km SW of Panguna, Papua New Guinea",earthquake
2014-05-07T04:20:33.690Z,-6.9499,154.8797,1,6.1,mwp,,27,8.021,1.25,us,usb000qcqe,2014-05-09T16:02:08.000Z,"96km SW of Panguna, Papua New Guinea",earthquake
2014-05-06T23:09:44.270Z,52.9001,159.9189,60.84,4.8,mb,,146,0.777,0.68,us,usb000qclv,2014-05-07T07:12:18.293Z,"86km E of Petropavlovsk-Kamchatskiy, Russia",earthquake
